"condition" "CYT" "IMPRES" "Roh_IS" "chemokines" "Davoli_IS" "IFNy" "Ayers_expIS" "Tcell_inflamed" "MSI" "TLS" "CTLA4" "PD1" "PDL1" "CMH1"
"1" "Gide_PD1_10_Post" 4.48219812145782 11 18.2808660339513 0.644965646412366 0.556851311953353 5.81679305250092 4.85856149567794 -1.37119808300286 6.66666666666667 12.6461129257963 11 1 7 460.578404602494
"2" "Gide_PD1_10_Pre" 1.42481577756565 12 6.9449849656822 -2.21431324715009 0.25801749271137 4.47591686271286 3.51240160199308 -2.66161725250621 6.66666666666667 4.69830304511566 3 0 3 213.552990494588
"3" "Gide_PD1_11_Pre" 2.45969510305647 10 9.15951202887845 -2.24972686133581 0.387755102040816 3.78827676167547 3.76797910955924 -2.86169315751115 6.66666666666667 18.8039695308893 4 1 4 271.033553775225
"4" "Gide_PD1_12_Pre" 1.42481577756565 8 3.68893805133786 -2.92896587594441 0.297376093294461 3.4600780324076 3.15224595457804 -3.24896340712041 5.55555555555556 8.87555248320251 3 1 1 190.333876682849
"5" "Gide_PD1_13_Post" 1.42481577756565 12 8.35800566735225 -0.800745868602047 0.161807580174927 4.26774073508842 3.27093537229569 -2.6232377731131 5.55555555555556 6.0690499472747 3 0 4 359.40910875254
"6" "Gide_PD1_13_Pre" 2.01 10 4.32757233607685 -3.65681246525414 0.17201166180758 3.53201267452149 2.85048985508858 -3.04508539208399 5.55555555555556 7.08952287287089 2 0 2 268.158922363079
"7" "Gide_PD1_14_Pre" 0.100498756211209 9 3.72206388916647 -2.30922411348417 0.231778425655977 3.23191868711785 2.81233105076998 -3.62247537512861 6.66666666666667 9.6779363687156 2 0 3 125.175491841457
"8" "Gide_PD1_15_Pre" 1.74358825414718 9 6.28458955826218 -3.36790911094797 0.393586005830904 3.37700815878708 3.55342977249774 -2.77224459651726 6.66666666666667 10.1803907147746 0 1 3 376.395257538964
"9" "Gide_PD1_16_Pre" 2.0124860247962 9 4.25079924192001 -3.90902427788171 0.160349854227405 3.22393368962429 2.51868317297957 -3.13264297782888 6.66666666666667 6.23328617010166 7 0 1 137.219264950827
"10" "Gide_PD1_17_Post" 30.9948398931177 10 33.2892870577846 3.60445587078727 0.841107871720117 6.70238283029555 5.91333997063288 0.0781652036066558 6.66666666666667 15.9301429231938 13 11 7 933.317814866155
"11" "Gide_PD1_17_Pre" 7.42698458326123 10 11.1606468557638 1.49586111734951 0.473760932944606 5.63857274387484 4.49606785939363 -1.71855413485369 6.66666666666667 8.22364498862846 3 1 7 671.479671481754
"12" "Gide_PD1_18_Pre" 1.42481577756565 11 6.14647910298422 -2.13254746093337 0.336734693877551 4.15386865802104 3.74570709670279 -2.83191242510023 6.66666666666667 5.516441730937 2 0 7 272.401785293467
"13" "Gide_PD1_19_Pre" 0.100498756211209 10 4.57152980803283 -2.80311380137496 0.138483965014577 3.34738502226629 2.87788216921865 -3.91952551562872 6.66666666666667 3.00646695945847 3 0 2 315.835354038452
"14" "Gide_PD1_2_Pre" 7.75629421824624 11 15.0694908223262 0.535426639178601 0.524781341107872 5.13381106152956 4.53619217167932 -1.71258053892308 6.66666666666667 9.08353944518997 4 1 4 410.903512620078
"15" "Gide_PD1_21_Pre" 1.74358825414718 10 7.80116191037641 -2.25013075738453 0.198250728862974 3.52638317252408 3.16535316012442 -2.90675910019247 6.66666666666667 7.57628556501565 2 0 5 340.909931710757
"16" "Gide_PD1_23_Pre" 2.83903152500989 9 10.2494488864714 -1.34749555225734 0.326530612244898 4.2472390753176 3.73802286881137 -2.83788844499771 6.66666666666667 6.6686934436377 3 0 7 340.314669352909
"17" "Gide_PD1_25_Post" 26.8436230788618 12 33.2726329531421 3.43271729080596 0.881924198250729 6.80247069271474 6.09038169354243 -0.209496443031774 6.66666666666667 24.2859346011608 9 5 19 725.801681426834
"18" "Gide_PD1_25_Pre" 7.08167353102358 12 14.3745401054759 0.404272292612784 0.618075801749271 5.1893463649794 4.75888710010742 -1.62680080052012 6.66666666666667 12.3563932111444 7 1 5 400.075548310099
"19" "Gide_PD1_27_Pre" 0.100498756211209 9 3.25744204597808 -4.30085640698305 0.185131195335277 3.32285444199505 2.5235185102866 -3.52861526642609 6.66666666666667 3.93182274695519 1 1 2 100.343312124414
"20" "Gide_PD1_29_Post" 2.2494666034418 12 7.00299129630558 -1.35173571918397 0.346938775510204 4.40524902685232 3.60003320473695 -2.71840196429157 6.66666666666667 4.5896559164147 1 1 6 302.430017090991
"21" "Gide_PD1_29_Pre" 0.01 10 1.68476519378405 -4.33395825002951 0.174927113702624 2.45234741560145 2.21245495823252 -4.18865194071035 6.66666666666667 4.00139180383918 0 0 2 74.3522459963488
"22" "Gide_PD1_3_Pre" 0.100498756211209 8 3.88869241182343 -4.54005596874834 0.14868804664723 2.7891711799671 2.64656073444626 -4.14174924363249 6.66666666666667 8.51192473198987 1 0 2 247.093483118573
"23" "Gide_PD1_30_Pre" 3.47564382525022 9 8.78056700177009 -2.48391101051749 0.174927113702624 3.85747301260728 2.91165165226463 -2.64357916521077 6.66666666666667 4.66031585938301 30 0 9 440.904497638223
"24" "Gide_PD1_34_Pre" 5.4890891776323 10 21.9938561216082 1.44999644595393 0.647230320699708 5.47739264163496 4.98660891344285 -1.54959576183042 5.55555555555556 27.8208554651277 6 1 7 688.389961085757
"25" "Gide_PD1_35_Pre" 11.5013086211961 13 32.666343084996 2.8946136482294 0.699708454810496 7.21399898643879 5.84418476487359 -0.430867982195332 6.66666666666667 19.9274999098521 14 2 31 772.220411375714
"26" "Gide_PD1_36_Pre" 3.17334208682266 11 8.76296021858007 -1.23173038337655 0.462099125364431 4.79157497316325 4.20767906518644 -2.38846312148996 5.55555555555556 11.5413851220414 12 0 5 318.827464968022
"27" "Gide_PD1_38_Pre" 18.7187098914428 12 55.5638597898999 4.10232242393224 0.816326530612245 7.93059856539201 6.36624968556675 0.0801485652614224 6.66666666666667 12.3803335078279 7 5 31 1573.04171943786
"28" "Gide_PD1_4_Pre" 27.1394565162975 11 37.9581009135578 3.33909995902944 0.848396501457726 6.2871720393284 5.72318187249019 -0.438508948226996 6.66666666666667 26.2284254183828 8 8 6 644.739062535662
"29" "Gide_PD1_40_Pre" 12.01 9 31.5160123836656 2.01419527121931 0.720116618075802 6.024778680799 5.59422483634483 -0.860404269732443 6.66666666666667 33.7577513711622 11 1 7 540.049448962434
"30" "Gide_PD1_41_Post" 38.6253815515135 12 57.4940943235217 4.15800272651734 0.896501457725947 7.3278755676717 6.42120735373008 0.193256281977496 6.66666666666667 13.4886923846858 26 4 26 932.420181500437
